year,destination_port,ship_count,latitude,longitude
1874,London,4144,51.5073509000001,-0.127758299999982
1875,London,3816,51.5073509000001,-0.127758299999982
1876,Grimsby,4,53.5674710000001,-0.0807839999998805
1876,Greenock,3,55.9505077629267,-4.75971798437838
1877,Dundee,2759,56.4612028818325,-2.96765932817017
1877,Liverpool,463,53.4083714,-2.99157259999998
1877,Bristol,298,51.4545130000001,-2.58790999999997
1877,Greenock,278,55.9505077629267,-4.75971798437838
1877,Wick,257,58.4430600485415,-3.09285166137693
1877,Borrowstounness,243,56.0191848626102,-3.60281840209956
1877,Inverness,99,57.4827277738256,-4.22737025390621
1877,Poole,85,50.7150500000001,-1.98724800000002
1877,Tyne,68,55.0179189721861,-1.42556335449211
1877,Grimsby,65,53.5674710000001,-0.0807839999998805
1877,FIFE,46,,
1877,Lerwick,34,,
1877,Montrose,25,56.7213304436428,-2.46576667724605
1877,BREMEN,22,,
1877,Newry,17,54.1483756060001,-6.32235385399997
1877,London,9,51.5073509000001,-0.127758299999982
1877,NEW YORK,7,,
1877,DUMFRIES,3,,
1878,QUEBEC,33,,
1878,Bristol,25,51.4545130000001,-2.58790999999997
1879,London,1579,51.5073509000001,-0.127758299999982
1879,Lynn,1150,52.7516798,0.402296300000103
1879,Liverpool,1027,53.4083714,-2.99157259999998
1879,Bristol,572,51.4545130000001,-2.58790999999997
1879,Grimsby,448,53.5674710000001,-0.0807839999998805
1879,Poole,303,50.7150500000001,-1.98724800000002
1879,Greenock,215,55.9505077629267,-4.75971798437838
1879,Dundee,211,56.4612028818325,-2.96765932817017
1879,Borrowstounness,142,56.0191848626102,-3.60281840209956
1879,Goole,119,53.7029410000001,-0.876380999999981
1879,JOINERY,55,,
1879,Tyne,39,55.0179189721861,-1.42556335449211
1879,PEMBROKE,30,,
1879,NEWCASTLE-ON-TYNE,29,54.978252,-1.61777999999998
1879,Newport,25,51.584151,-2.99766399999993
1879,BURRYPORT,25,51.6827160162001,-4.24937562131073
1879,Hartlepool (West),20,54.6917449999999,-1.21292600000004
1879,Hull,19,53.7456708999999,-0.336741299999971
1879,Southampton,11,50.9097004,-1.40435090000005
1879,Sunderland,11,54.9068690000001,-1.38380099999989
1879,Yarmouth,11,52.1084745429551,1.33582938769132
1879,Swansea,7,51.62144,-3.94364599999994
1879,Cardiff,5,51.4815810000001,-3.17908999999992
1879,BARROW-IN-FURNESS,4,54.1089670000001,-3.21889399999998
1879,AUGU,4,,
1879,Maldon,1,51.7318050000001,0.671448000000169
1879,AT AVONMOUTH DOCKS,1,,
1879,Whitby,1,54.4863350000001,-0.613346999999919
1879,BURRY PORT,1,51.6827160162001,-4.24937562131073
1880,London,52,51.5073509000001,-0.127758299999982
1880,Newport,52,51.584151,-2.99766399999993
1880,Liverpool,39,53.4083714,-2.99157259999998
1880,Bristol,38,51.4545130000001,-2.58790999999997
1880,Tyne,21,55.0179189721861,-1.42556335449211
1880,Leith,18,55.9765554947196,-3.16607291534422
1880,Grimsby,17,53.5674710000001,-0.0807839999998805
1880,Montrose,14,56.7213304436428,-2.46576667724605
1880,Greenock,14,55.9505077629267,-4.75971798437838
1880,Dundee,14,56.4612028818325,-2.96765932817017
1880,Alloa,12,56.1163031824617,-3.79518671321335
1880,Borrowstounness,11,56.0191848626102,-3.60281840209956
1880,Belfast,9,54.613523371,-5.90696169099994
1880,Glasgow,7,55.8582389117887,-4.24254728271348
1880,Swansea,6,51.62144,-3.94364599999994
1880,Dublin,6,53.346388727,-6.21662037199997
1880,Grangemouth,5,56.0086943296901,-3.71710520629876
1880,Fraserburgh,5,,
1880,London (Millwall Docks),5,51.5073509000001,-0.127758299999982
1880,Middlesbrough,5,54.5742270000001,-1.23495600000001
1880,Plymouth,4,50.3754565,-4.14265649999993
1880,Southampton,4,50.9097004,-1.40435090000005
1880,Lerwick,4,,
1880,Lynn,4,52.7516798,0.402296300000103
1880,Peterhead,4,57.5065199884148,-1.79653335449211
1880,Aberdeen,4,57.1453346208669,-2.10306332275388
1880,Yarmouth,4,52.1084745429551,1.33582938769132
1880,Ayr,4,55.4703747229195,-4.63760140747054
1880,Newhaven,3,50.79307,0.0455740000000446
1880,Sunderland,3,54.9068690000001,-1.38380099999989
1880,Wisbech,3,52.666317,0.158797000000163
1880,Cork,3,51.9014959520001,-8.44685895399994
1880,Troon,3,55.5444127055824,-4.67361271972649
1880,Hull,2,53.7456708999999,-0.336741299999971
1880,Limerick,2,,
1880,Maryport,2,54.714441,-3.49494000000004
1880,Granton,2,,
1880,Hartlepool (West),2,54.6917449999999,-1.21292600000004
1880,Dundalk,2,,
1880,Kirkcaldy,2,56.109236880424,-3.16149504760739
1880,KIRKWALL,2,,
