port_name,latitude,longitude,ship_count
LONDON,51.5073509000001,-0.127758299999982,19050
LIVERPOOL,53.4083714,-2.99157259999998,18546
GRIMSBY,53.5674710000001,-0.0807839999998805,17465
DUNDEE,56.4612028818325,-2.96765932817017,10900
BRISTOL,51.4545130000001,-2.58790999999997,10694
Tyne Ports,55.0179189721861,-1.42556335449211,10113
NEWPORT,51.584151,-2.99766399999993,7937
POOLE,50.7150500000001,-1.98724800000002,5117
Borrowstounness (Bo'Ness),56.0191848626102,-3.60281840209956,4810
GREENOCK,55.9505077629267,-4.75971798437838,4582
Lynn (King's Lynn),52.7516798,0.402296300000103,3781
Tilbury Docks,51.454605122463,0.346938878173947,2771
INVERNESS,57.4827277738256,-4.22737025390621,2429
Stockton-on-Tees,54.5704551000001,-1.32898209999991,1952
GOOLE,53.7029410000001,-0.876380999999981,1774
WICK,58.4430600485415,-3.09285166137693,1548
FLEETWOOD,53.9154477593217,-3.01331410565124,1436
MONTROSE,56.7213304436428,-2.46576667724605,1247
DUBLIN,53.346388727,-6.21662037199997,1182
FOWEY,50.3349900000001,-4.63652499999995,926
SLIGO,54.277488562,-8.48034919799994,672
NEWRY,54.1483756060001,-6.32235385399997,648
CORK,51.9014959520001,-8.44685895399994,607
Berwick-upon-Tweed,55.7702420000001,-2.00539499999996,607
EXETER,50.7184120000001,-3.53389899999991,473
LONDONDERRY,55.0114105220001,-7.30041944099997,437
LimerickL,52.660797938,-8.63965508699994,409
DOVER,51.1278758,1.31340270000004,391
WEXFORD,52.3386830540001,-6.45647567999993,324
TROON,55.5444127055824,-4.67361271972649,324
RUNCORN,53.3420780000001,-2.72967299999999,298
Deptford,51.478,-0.0265,293
CARDIFF,51.4815810000001,-3.17908999999992,291
TRURO,50.2631950000001,-5.05104099999994,282
Surrey Commercial Docks,51.4970097932452,-0.0483259357263694,271
IRVINE,55.618333779517,-4.65659498413083,265
Milford Haven,51.7143060000001,-5.04269709999988,263
LEITH,55.9765554947196,-3.16607291534422,257
Lerwick,60.155,-1.145,252
Hartlepool,54.6917449999999,-1.21292600000004,237
SUNDERLAND,54.9068690000001,-1.38380099999989,230
COWES,50.7627850000001,-1.30053299999997,210
SWANSEA,51.62144,-3.94364599999994,209
Middlesbrough,54.5742270000001,-1.23495600000001,192
ALLOA,56.1163031824617,-3.79518671321335,174
GLASGOW,55.8582389117887,-4.24254728271348,153
BELFAST,54.613523371,-5.90696169099994,147
SOUTHAMPTON,50.9097004,-1.40435090000005,142
HULL,53.7456708999999,-0.336741299999971,142
GRANGEMOUTH,56.0086943296901,-3.71710520629876,127
WORKINGTON,54.643569,-3.54275200000001,110
YARMOUTH,50.7066653578368,-1.50013614288336,107
GLOUCESTER,51.8642449,-2.23815599999989,106
Borden,51.334,0.703,102
Granton Harbour,55.9840543311144,-3.22823169311514,92
Queenborough,51.416139674537,0.742809298858174,90
Cliffe,51.4619,0.4975,88
KIRKCALDY,56.109236880424,-3.16149504760739,86
PLYMOUTH,50.3754565,-4.14265649999993,79
WIGTOWN,54.8676447222298,-4.44449749206541,78
ABERDEEN,57.1453346208669,-2.10306332275388,76
WISBECH,52.666317,0.158797000000163,75
STIRLING,56.1173485571869,-3.93919047158875,73
Silvertown,51.5,0.03,71
ROCHESTER,51.3880000000001,0.506721000000084,63
Barrow-in-Furness,54.1089670000001,-3.21889399999998,60
PORTSMOUTH,50.8197675000001,-1.0879769,54
NEWHAVEN,50.79307,0.0455740000000446,54
Llanelli,51.680886,-4.16024800000002,53
RYE,50.949708,0.737260000000049,52
PETERHEAD,57.5065199884148,-1.79653335449211,50
LOWESTOFT,52.481138,1.75344900000016,45
Skibbereen,51.5486,-9.2636,44
Shoreham-by-Sea,50.8342086000001,-0.271555799999987,42
BRIDGWATER,51.1326558933295,-3.00590651324461,42
Purfleet,51.48,0.25,40
CHESTER,53.1933920000001,-2.8930749999999,36
AYR,55.4703747229195,-4.63760140747054,36
BRIDPORT,50.7335769,-2.7583009999999,34
BLYTH,55.1354889326177,-1.52226629597336,32
AVONMOUTH DOCK,51.501958264588,-2.70636874389645,31
WHITEHAVEN,54.5496990000001,-3.58923300000004,30
NEWCASTLE-ON-TYNE,54.978252,-1.61777999999998,29
COLCHESTER,51.895927,0.891874000000087,28
FAVERSHAM,51.3174325831495,0.888274418029924,26
