record_id,publication_year,publication_month,publication_day,ship_name,origin_port,destination_port,is_steamship,merchant,source_file,line_number,raw_ocr_line,arrival_year,arrival_month,arrival_day,format_type,confidence
25906,1881.0,August,27.0,Albano,New York,LONDON,True,,18810827p.143_p002.txt,166,"Albano (s)-New York-1,260 staves-Simson & Mason; 1,399 boards, 7 pcs. square ash-H. Hermann",1881.0,Aug,16,condensed,0.9
22057,1881.0,May,14.0,Alsatia,New York,LONDON,True,,18810514p.306_p001.txt,157,J. H. M.—Montego Bay—25 spars—Phillips,1881.0,Mar,29,condensed,0.9
20351,1881.0,January,22.0,Annie J. Marshall,New York,LONDON,False,A. W. Latham & Co.,18810122p.59_p001.txt,120,"14 Annie J. Marshall-New York-4,270 pcs. oak, 627 pcs. walnut, 1,287 pcs. whitewood-A. W. Latham & Co.",1881.0,Dec,22,condensed,0.9
21898,1881.0,May,7.0,Antisana,New York,LONDON,True,Churchill & Sim,18810507p.291_p001.txt,142,"Antisana (s)-New York-3,126 staves-Churchill & Sim; 61 walnut logs-De Clermont & Co.; 20 walnut logs-Order",1881.0,Mar,29,condensed,0.9
24035,1881.0,July,16.0,Assyrian,New York,LONDON,True,,18810716p.48_p002.txt,74,"8 Assyrian (s)-New York-100 logs walnut-Churchill & Sim; 1,425 doors-Bradley & Currier; 343 bdls. headings, 4,070 bdls. staves-H. Tate & Sons",1881.0,Mar,29,condensed,0.9
30439,1881.0,December,24.0,Assyrian Monarch,New York,LONDON,True,,18811224p.418_p001.txt,129,"Assyrian Monarch (s)—New York—22 logs black walnut—Churchill & Sim ; 244 pcs. 684 bdls. lumber, 620 bxs. and 831 doors, 8 logs poplar, 1,354 boards lumber, quantity staves—Order",1881.0,Dec,15,condensed,0.9
22765,1881.0,June,4.0,Assyrian Monarch,New York,LONDON,False,Churchill & Sim,18810604p.352_p001.txt,175,"Assyrian Monarch-New York-2,800 staves, 335 oak planks, 71 logs walnut-Churchill & Sim ; 450 oars-Cunningham, Shaw, & Co. ; 1,118 bdls. hoops-Hay, Sutherland, & Co. ; 1,584 no. 10 bdls. doors-Bradley & Currier",1881.0,Mar,29,condensed,0.9
21207,1881.0,April,9.0,Assyrian Monarch,New York,LONDON,True,,18810409p.236.txt,82,"Assyrian Monarch (s)—New York—143 oars—D. De Pass ; 1,737 staves—Churchill & Sim ; 344 doors—Order",1881.0,Mar,31,condensed,0.9
27331,1881.0,September,17.0,Assyrian Monarch,New York,LONDON,False,,18810917p.198_p002.txt,75,"9 Assyrian Monarch-New York-706 doors-Bradley & Co. ; 1,576 staves-Churchill & Sim ; 1,576 staves-Order",1881.0,Sept,7,condensed,0.9
20527,1881.0,February,5.0,Australia,New York,LONDON,True,,18810205.p.88.txt,60,"29 Australia (s)-New York-1,359 pcs. walnut, 57 bls. lumber-Order",1881.0,Jan,19,condensed,0.9
