year,origin_port,ship_count
1874.0,Quebec,37
1874.0,Cronstadt,28
1874.0,Soderhamn,22
1874.0,Riga,20
1874.0,Gefle,19
1874.0,Dram,17
1874.0,Memel,16
1874.0,Sundswall,15
1874.0,Danzig,11
1874.0,Gothenburg,11
1874.0,Jamaica,11
1874.0,Fredrikstad,8
1874.0,Husum,7
1874.0,Bjorneborg,6
1874.0,New York,6
1874.0,St. Petersburg,6
1874.0,Libau,5
1874.0,Stockholm,5
1874.0,Christiania,4
1874.0,Sandarne,4
1874.0,Three Rivers,4
1874.0,Uleaborg,4
1874.0,Archangel,3
1874.0,Haparanda,3
1874.0,Hernosand,3
1874.0,Hudikswall,3
1874.0,Ljusne,3
1874.0,Skelleftea,3
1874.0,Windau,3
1874.0,Ahlafors,2
1874.0,"Chatham, N.B.",2
1874.0,Colombo,2
1874.0,Drammen,2
1874.0,"Halifax, N.S.",2
1874.0,Krageroe,2
1874.0,Lulea,2
1874.0,Magdalen River,2
1874.0,Narva,2
1874.0,Ny Carleby,2
1874.0,Nyhamn,2
1874.0,Nyvik,2
1874.0,Pensacola,2
1874.0,Rangoon,2
1874.0,Stolpemunde,2
1874.0,Sund,2
1874.0,Svartwik,2
1874.0,"Three Rivers, Quebec",2
1874.0,Umea,2
1874.0,Akyab,1
1874.0,Belize,1
1874.0,"Belize, etc.",1
1874.0,Bermuda,1
1874.0,Bremen,1
1874.0,Cape Lopez,1
1874.0,Charlestown,1
1874.0,Christinestad,1
1874.0,Cochin,1
1874.0,Constantinople,1
1874.0,Corfu,1
1874.0,Dantzic,1
1874.0,Darien,1
1874.0,Demerara,1
1874.0,Dohlkarsla,1
1874.0,Drontheim,1
1874.0,Fernandina,1
1874.0,Gamla Carleby,1
1874.0,Grand Bay,1
1874.0,Helsingfors,1
1874.0,Hernefors,1
1874.0,Hobart Town,1
1874.0,Holmstad,1
1874.0,Holmsund,1
1874.0,Honduras,1
1874.0,Iggesund,1
1874.0,Jacobstad,1
1874.0,"John, N.B.",1
1874.0,Kramfors,1
1874.0,Kungsbacka,1
1874.0,Laguna,1
1874.0,Lovisa,1
1874.0,Madras,1
1874.0,Malmo,1
1874.0,Minatitlan,1
1874.0,Miramichi,1
1874.0,Narrkoping,1
1874.0,Norrkoping,1
1874.0,Nyland,1
1874.0,Nynamn,1
1874.0,Onega,1
1874.0,Porsgrund,1
1874.0,Poti,1
1874.0,Punta Arenas,1
1874.0,Richibucto,1
1874.0,Saguenay,1
1874.0,Sannesund,1
1874.0,Santa Anna,1
1874.0,Savannah,1
1874.0,Singapore,1
1874.0,Smyrna,1
1874.0,Soraka,1
1874.0,"St. John's, N.B.",1
1874.0,"St. Mary's, Georgia",1
1874.0,St. Petersburg Town,1
1874.0,St. Petersburgh,1
1874.0,Stocka,1
1874.0,Stromnas,1
1874.0,Swartwik,1
1874.0,Sydney,1
1874.0,Taganrog,1
1874.0,Trinidad,1
1874.0,Truxillo,1
1874.0,Uddevalla,1
1874.0,Wasa,1
1874.0,Whyncomah,1
1874.0,Wifstavarf,1
1874.0,Wifstawarf,1
1874.0,Wyborg,1
1874.0,Wyburg,1
1874.0,Zanzibar,1
1875.0,Riga,39
1875.0,New York,28
1875.0,Gothenburg,21
1875.0,Quebec,21
1875.0,Christiania,19
1875.0,Memel,19
1875.0,Gefle,18
1875.0,Cronstadt,16
1875.0,Drammen,14
1875.0,Sannesund,12
1875.0,Sundswall,12
1875.0,Dram,10
1875.0,Laurvig,9
1875.0,Pensacola,9
1875.0,St. John,9
1875.0,Jamaica,8
1875.0,New Orleans,8
1875.0,Windau,8
1875.0,Bjorneborg,7
1875.0,Minatitlan,7
1875.0,Danzig,6
1875.0,"St. John, N.B.",5
1875.0,Boston,4
1875.0,Christiansand,4
1875.0,Colombo,4
1875.0,Fredrikstad,4
1875.0,Rangoon,4
1875.0,Skien,4
1875.0,Abo,3
1875.0,Bahia,3
1875.0,Belize,3
1875.0,Constantinople,3
1875.0,Helsingfors,3
1875.0,Hudikswall,3
1875.0,Ljusne,3
1875.0,Melbourne,3
1875.0,Miramichi,3
1875.0,Nyvik,3
1875.0,Pascagoula,3
1875.0,Porsgrund,3
1875.0,Richibucto,3
1875.0,Skutskar,3
1875.0,Soderhamn,3
1875.0,St. Petersburg,3
1875.0,Stockholm,3
1875.0,W. C. Africa,3
1875.0,Amsterdam,2
1875.0,"Christiania, &c.",2
1875.0,Darien,2
1875.0,Fredrickshamn,2
1875.0,Fredrickstad,2
1875.0,Hambro,2
1875.0,Kotka,2
1875.0,Lulea,2
1875.0,Marseilles,2
1875.0,"Minatitlan, and cedar",2
1875.0,Nynhamn,2
1875.0,Tlatocalpan,2
1875.0,Trieste,2
1875.0,Uddevalla,2
1875.0,Vefsen,2
1875.0,Archangel,1
1875.0,Arendal,1
1875.0,Axmar,1
1875.0,Bangor,1
1875.0,Bathurst,1
1875.0,Bollsta,1
1875.0,Brevig,1
1875.0,Buctouche,1
1875.0,Calmar,1
1875.0,"Champion Bay, &c.",1
1875.0,Charlotte Town,1
1875.0,Dantzig,1
1875.0,Danzic,1
1875.0,Draget,1
1875.0,Drebak,1
1875.0,Drontheim,1
1875.0,East Port,1
1875.0,Ferdinandina,1
1875.0,Fernandina,1
1875.0,Finland,1
1875.0,Fort Cortes,1
1875.0,Frederikshall,1
1875.0,Frederikstadt,1
1875.0,Fredrikshald,1
1875.0,"Halifax, N.S.",1
1875.0,Havre,1
1875.0,Haynasch,1
1875.0,Holmsund,1
1875.0,Iggesund,1
1875.0,Kemi,1
1875.0,Kingston,1
1875.0,Konigsberg,1
1875.0,Krageroe,1
1875.0,Kramfors,1
1875.0,"Lagunade, Terminos, &c.",1
1875.0,Landskrona,1
1875.0,Mediterranean,1
