record_id,publication_year,publication_month,publication_day,ship_name,origin_port,destination_port,is_steamship,merchant,source_file,line_number,raw_ocr_line,arrival_year,arrival_month,arrival_day,format_type,confidence
10044,1874.0,November,28.0,Louisa Ann Fanny,Ahlafors,LONDON,True,,"16. p. 237-240 - November 28 1874 - Imports of Timber, &c. -  Timber Trades Journal Vol. 2 1875_p001.txt",152,"Nov. 23. Louisa Ann Fanny (s) @ Ahlafors,—23,776 deals and battens, Order.",1874.0,Nov,23,early_at,0.9
9950,1874.0,November,28.0,St. Johannes,Ahlafors,LONDON,False,,"16. p. 237-240 - November 28 1874 - Imports of Timber, &c. -  Timber Trades Journal Vol. 2 1875_p001.txt",19,"St. Johannes @ Ahlafors,—23,208 deals and battens, Order.",1874.0,Nov,14,early_at,0.9
4630,1874.0,October,3.0,Admiral,Akyab,LONDON,False,,"12. p. 179-182 - October 3 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p002.txt",52,"Admiral @ Akyab,—32 ventilators, 95 planks, Order.",1874.0,September,18,early_at,0.9
4048,1874.0,September,19.0,Brazilian,Archangel,LONDON,False,,"11. p.163-166 - September 19 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",31,"Brazilian @ Archangel,—6,154 deals, P. Wotton.",1874.0,Sept,4,early_at,0.9
4059,1874.0,September,19.0,Framat,Archangel,LONDON,False,,"11. p.163-166 - September 19 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",45,"Framat @ Archangel,—7,712 pcs. deals, battens, and ends, Order.",1874.0,Sept,4,early_at,0.9
4085,1874.0,September,19.0,Segrid Elida,Archangel,LONDON,False,,"11. p.163-166 - September 19 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",81,"Segrid Elida @ Archangel,—129 std. deals and boards, Order.",1874.0,Sept,4,early_at,0.9
4629,1874.0,October,3.0,Columba,Belize,LONDON,False,,"12. p. 179-182 - October 3 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p002.txt",51,"Columba @ Belize,—210 t. logwood, 215 logs mahogany, British Honduras Co.",1874.0,September,18,early_at,0.9
4602,1874.0,October,3.0,Moeve,"Belize, etc.",LONDON,False,,"12. p. 179-182 - October 3 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p002.txt",14,"Moeve @ Belize, etc.,—28 pcs. 5 fantails, 4 log ends mahogany, 155 t. logwood, British Honduras Co.",1874.0,September,18,early_at,0.9
95284,1874.0,July,11.0,Lima,Bermuda,LONDON,False,,"6. p. 82-83 - July 11 1874 - Imports of Timber, &c. -  Timber Trades Journal Vol. 2 1875_p001.txt",70,"Lima @ Bermuda,—24 t. logwood, C. H. Stewart.",1874.0,March,12,early_at,0.9
9956,1874.0,November,28.0,Avenir,Bjorneborg,LONDON,False,,"16. p. 237-240 - November 28 1874 - Imports of Timber, &c. -  Timber Trades Journal Vol. 2 1875_p001.txt",27,"Avenir @ Bjorneborg,—17,199 battens, Sieveking & Co.",1874.0,Nov,14,early_at,0.9
4079,1874.0,September,19.0,Christina Mathilda,Bjorneborg,LONDON,False,,"11. p.163-166 - September 19 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",75,"Christina Mathilda @ Bjorneborg,—12,000 staves, Order.",1874.0,Sept,4,early_at,0.9
10034,1874.0,November,28.0,Esperance,Bjorneborg,LONDON,False,,"16. p. 237-240 - November 28 1874 - Imports of Timber, &c. -  Timber Trades Journal Vol. 2 1875_p001.txt",133,"Esperance @ Bjorneborg,—50,118 deals and battens, and boards, Order.",1874.0,Nov,20,early_at,0.9
10067,1874.0,November,28.0,Fennie,Bjorneborg,LONDON,False,,"16. p. 237-240 - November 28 1874 - Imports of Timber, &c. -  Timber Trades Journal Vol. 2 1875_p002.txt",17,"Fennie @ Bjorneborg,—34,892 deals, battens, and boards, G. F. Neame & Co.",1874.0,Nov,25,early_at,0.9
