commodity,origin_port,count
deals,Quebec City,374
deals,Cronstadt,363
deals,Riga,345
laths,Gothenburg,330
boards,Gothenburg,325
lathwood,Cronstadt,322
staves,New York,321
deals,Gothenburg,301
doors,Gothenburg,288
deals,Gefle,272
deals,Montreal,265
battens,Gothenburg,263
lathwood,Riga,257
mouldings,Gothenburg,241
firewood,Sundswall,232
sleepers,Riga,232
boards,Christiania,229
deals,Soderhamn,227
boards,Fredrikstad,222
lumber,New York,205
lathwood,St. Petersburg,200
battens,Cronstadt,195
deals,Archangel,191
battens,Riga,187
staves,Klaipeda,176
rickers,St. Petersburg,171
battens,Gefle,168
oars,Gothenburg,155
deals,Sundswall,153
firewood,Gothenburg,134
firewood,Kotka,131
battens,Sundswall,130
firewood,Cronstadt,127
battens,Drammen,125
staves,Danzig,122
boards,Drammen,118
firewood,Fredrikstad,114
battens,Soderhamn,111
joinery,Gothenburg,108
deal ends,Quebec City,106
boards,Cronstadt,105
sleepers,Danzig,105
doors,New York,102
ends,Quebec City,101
deals,St. John,98
mouldings,Uddevalla,98
deals,Pensacola,95
firewood,Soderhamn,95
lumber,Boston,91
deals,Stockholm,91
ends,Riga,90
rickers,Cronstadt,89
wood,Gothenburg,89
ends,Archangel,89
staves,Quebec City,88
turned wood,Gothenburg,87
pieces,New York,85
sleepers,Klaipeda,85
walnut,New York,83
deal ends,Cronstadt,82
boards,Gefle,81
firewood,Gefle,80
firewood,Hernosand,78
boards,Sundswall,77
battens,Stockholm,77
deals,Klaipeda,77
floorings,Fredrikstad,76
ends,Cronstadt,75
deals,Drammen,73
battens,Fredrikstad,72
firewood,Riga,71
ends,Montreal,71
firewood,Christiania,70
doors,Uddevalla,69
bundles,New York,68
deals,Uleaborg,68
spars,Christiania,68
pit props,Gothenburg,67
sleepers,Konigsberg,67
doors,Stockholm,66
staves,Boston,65
deals,Danzig,65
deals,Miramichi,64
oak staves,Klaipeda,64
box boards,Christiania,64
battens,Archangel,62
staves,Christiania,62
deals,Ljusne,61
staves,Kotka,61
deals,Saguenay,60
oak,New York,60
rickers,Gothenburg,59
scantlings,Christiania,59
boards,Archangel,58
sim,New York,57
deals,Sandarne,56
hoops,New York,56
deal ends,Riga,56
deals,St. Petersburg,55
blocks,Gothenburg,55
half-sleepers,Riga,54
sleepers,Ventspils,54
laths,Fredrikstad,53
deals,Three Rivers,52
oars,New York,51
mouldings,Stockholm,50
boxboards,Christiania,50
headings,New York,49
lumber,Newport News,48
poles,Christiania,48
box boards,Gothenburg,48
deals,Hudikswall,47
mahogany,Belize,46
firewood,Ljusne,46
firewood,St. Petersburg,46
deals,Christiania,46
battens,Ljusne,46
deals,Hernosand,45
firewood,Bjorneborg,44
trellis,Gothenburg,44
deal ends,Montreal,44
oak,Quebec City,44
boards,Soderhamn,43
firewood,Uleaborg,43
boards,Riga,43
deals,Skutskar,43
sleepers,Liepāja,43
deals,Skelleftea,42
battens,Christiania,42
mouldings,New York,42
deals,Lulea,42
ends,St. John,42
deals,Bjorneborg,41
staves,Drammen,41
