commodity,year,origin_port,cargo_rows,rank
deals,1874,Quebec,27,1
deals,1874,Soderhamn,21,2
deals,1874,Gefle,16,3
deals,1874,Cronstadt,14,4
deals,1874,Sundswall,9,5
deals,1874,Gothenburg,9,6
deals,1874,Riga,8,7
deals,1874,Zanzibar,7,8
deals,1874,Danzig,6,9
deals,1874,Husum,6,10
deals,1874,Dram,5,11
deals,1874,Memel,4,12
deals,1874,Bjorneborg,4,13
deals,1874,Archangel,3,14
deals,1874,Uleaborg,3,15
deals,1874,Libau,3,16
deals,1874,St. Petersburg,3,17
deals,1874,Skelleftea,3,18
deals,1874,Sandarne,3,19
deals,1874,Stockholm,2,20
deals,1875,Drammen,14,1
deals,1875,Quebec,12,2
deals,1875,Gefle,11,3
deals,1875,Christiania,9,4
deals,1875,Memel,9,5
deals,1875,Gothenburg,7,6
deals,1875,Pensacola,7,7
deals,1875,Skien,6,8
deals,1875,Cronstadt,6,9
deals,1875,Riga,6,10
deals,1875,Bjorneborg,6,11
deals,1875,Laurvig,6,12
deals,1875,Nyvik,4,13
deals,1875,St. John,4,14
deals,1875,Havre,3,15
deals,1875,Richibucto,3,16
deals,1875,"St. John, N.B.",3,17
deals,1875,Miramichi,3,18
deals,1875,Dram,3,19
deals,1875,Pascagoula,3,20
deals,1879,Quebec,80,1
deals,1879,Gefle,64,2
deals,1879,Archangel,46,3
deals,1879,Soderhamn,44,4
deals,1879,Uleaborg,29,5
deals,1879,Cronstadt,27,6
deals,1879,Riga,18,7
deals,1879,Saguenay,17,8
deals,1879,Sandarne,16,9
deals,1879,Lulea,13,10
deals,1879,Sundswall,12,11
deals,1879,Bjorneborg,12,12
deals,1879,St. John,11,13
deals,1879,Pitea,10,14
deals,1879,G'burg,9,15
deals,1879,Ljusne,9,16
deals,1879,Hudikswall,9,17
deals,1879,Kotka,8,18
deals,1879,Miramichi,8,19
deals,1879,Three Rivers,8,20
deals,1880,Quebec,5,1
deals,1880,Dalhousie,1,2
deals,1881,Quebec,39,1
deals,1881,Cronstadt,33,2
deals,1881,Gothenburg,29,3
deals,1881,Gefle,21,4
deals,1881,Soderhamn,20,5
deals,1881,Sundswall,18,6
deals,1881,Pensacola,17,7
deals,1881,Riga,13,8
deals,1881,Stockholm,13,9
deals,1881,"St. John, N.B.",10,10
deals,1881,Miramichi,10,11
deals,1881,Three Rivers,8,12
deals,1881,Memel,7,13
deals,1881,Montreal,7,14
deals,1881,Archangel,7,15
deals,1881,Dantzic,5,16
deals,1881,Christiania,5,17
deals,1881,Abo,5,18
deals,1881,Nyhamn,5,19
deals,1881,Ljusne,5,20
deals,1882,Stockholm,2,1
deals,1882,Lappvik,1,2
deals,1882,Skutskar,1,3
deals,1882,Sundswall,1,4
deals,1882,Holmstad,1,5
deals,1882,Archangel,1,6
deals,1882,Christiania,1,7
deals,1883,Quebec,56,1
deals,1883,Gothenburg,43,2
deals,1883,Cronstadt,30,3
deals,1883,Soderhamn,28,4
deals,1883,Montreal,27,5
deals,1883,Pensacola,25,6
deals,1883,Riga,20,7
deals,1883,Gefle,20,8
deals,1883,Archangel,20,9
deals,1883,Sundswall,17,10
deals,1883,Miramichi,15,11
deals,1883,Stockholm,13,12
deals,1883,"St. John, N.B.",12,13
