commodity,year,num_ships,num_cargo_items,top_origin,top_destination
abutter laths,1889,1,1,Uddevalla,Liverpool
ahl,1875,1,1,Gothenburg,London
alder,1884,2,2,poti,Liverpool
alder,1887,3,3,Konigsberg,Grimsby
alder,1888,1,1,St. Nazaire,London
alder,1889,5,5,Riga,Grimsby
alder,1891,5,5,Konigsberg,Grimsby
alder,1893,1,1,Konigsberg,
alder,1895,4,4,Konigsberg,Hull (Queen's Dock)
alder poles,1899,2,2,Helsingborg,Grimsby
alder props,1893,1,1,Konigsberg,Bristol
alder props,1897,1,1,Porsgrund,Grimsby
alder wood,1889,1,1,Liepāja,Grimsby
alderwood,1885,1,1,Carlscrona,London
alderwood,1887,4,4,Konigsberg,Tyne
alderwood,1889,1,1,Dunkirk,Liverpool
aligar,1877,1,1,Porsgrund,
alpheim,1875,1,1,Gothenburg,Bristol
am ls,1896,1,1,Boston,Liverpool (Coburg Dock)
american whitewood,1896,1,1,New York,Grimsby
and,1874,2,2,New York,London
and,1875,2,2,Gothenburg,London
and,1877,2,2,St,Liverpool
and,1881,5,5,Rangoon,Liverpool
and,1883,4,4,Tornea,Liverpool
and,1885,11,11,New York,Liverpool
and,1887,18,18,New Orleans,Liverpool
and,1888,2,2,New York,Liverpool
and,1889,16,16,New York,Liverpool
and,1890,2,2,Gothenburg,Grimsby
and,1891,13,13,Boston,Liverpool
and,1893,8,8,Boston,Liverpool
and,1899,3,3,Gothenburg,Tyne
and battens,1883,1,1,GÃ¤vle,Tyne
and bbl,1883,1,1,New York,Wick
and bdl,1889,1,1,Norfolk,Newport
and bdls,1874,1,1,Stockholm,London
and bdls,1889,1,1,New York,Grimsby
and bdls,1893,3,3,Baltimore,London (Tilbury Docks)
and bdls,1895,2,2,Newport News,London
and bdls,1897,3,3,Rijeka,London (Tilbury Docks)
and bdls,1899,2,3,Newport News,London
and boards,1881,1,1,Miramichi,Bristol
and brds,1877,1,1,Stockviken,
and ends,1885,1,1,Kronstadt,Cork
and ends,1887,1,1,Kronstadt,London
and oct,1885,1,1,Norfolk,Liverpool
and pcs,1883,1,1,New York,London
and pcs,1885,1,1,New York,London
and pcs,1893,2,2,Philadelphia,London (Tilbury Docks)
and pcs,1895,3,3,Gothenburg,Grimsby
and pcs,1899,1,1,New York,Grimsby
and pkgs,1884,1,1,New York,London
and qty,1893,1,1,Stockholm,London
and quantity scantling,1881,1,1,Christiania,Liverpool
and squares,1897,1,1,New York,Inverness
and staves,1892,1,1,New York,Liverpool
and white wood boards,1893,1,1,Christiania,Bristol
antique wood,1889,1,1,Alexandria,Grimsby
ar rickers,1891,1,1,St. Petersburg,Greenock
archi,1887,1,1,Fredrikstad,Liverpool
architraves,1875,1,1,Fredrikstad,
architraves,1885,1,1,Fredrikstad,Bristol
architraves and mouldings,1875,1,1,New York,Liverpool
ash,1874,10,10,Quebec,London
ash,1875,28,30,Quebec,Greenock
ash,1877,35,36,Quebec,Dundee
ash,1881,26,26,Quebec,Greenock
ash,1883,44,46,Quebec,Liverpool
ash,1884,5,5,New York,London
ash,1885,41,42,Quebec,London
ash,1887,30,32,Quebec,Liverpool
ash,1889,34,35,Quebec,Greenock
ash,1891,12,13,Quebec,Liverpool
ash,1892,1,1,Baltimore,Liverpool
ash,1893,16,16,Quebec,Liverpool
ash,1895,11,11,Boston,Liverpool
ash,1896,1,1,Portland,Bristol
ash,1899,6,6,"Portland, Me.",Liverpool
ash and maple,1895,1,1,Boston,Liverpool
ash and walnut stumps,1883,1,1,New York,London
ash hewn,1881,5,5,Quebec,Dundee
ash logs,1893,1,1,New York,Dundee
ash logs,1895,1,1,Norfolk,Dundee
ash logs,1897,1,1,Montreal,Greenock
ash lumber,1881,1,1,New York,Dundee
ash lumber,1884,1,1,New York,London
ash lumber,1885,1,1,New York,London
ash lumber,1887,2,2,New York,London
ash squares,1883,1,1,New York,London
ash squares,1893,1,1,Halifax,Liverpool
ash timber,1875,1,1,Riga,Bristol
ash timber,1877,3,3,Danzig,Greenock
ash timber,1889,3,3,Quebec,Poole
