port_type,port_name,ship_count,action,map_to_port,notes
destination,ALEXANDRA DOCK,591,REVIEW,,"Dock name - multiple cities, needs human review"
destination,THE TIMBER TRADES JOURNAL,429,ERROR,,OCR error - journal header/advertisement
destination,SURREY COMMERCIAL DOCK,350,REVIEW,,Dock/wharf - needs context to determine city
destination,VICTORIA DOCK,303,REVIEW,,"Dock name - multiple cities, needs human review"
destination,VICTORIA AND ALBERT DOCKS,186,REVIEW,,"Dock name - multiple cities, needs human review"
destination,IMPORTS,182,ERROR,,OCR error - journal header/advertisement
destination,HARTLEPOOL,178,MAP,Hartlepool,Capitalization fix
destination,ALBERT DOCK,124,REVIEW,,"Dock name - multiple cities, needs human review"
destination,MILLWALL DOCK,117,REVIEW,,"Dock name - multiple cities, needs human review"
destination,CANADA DOCK,110,REVIEW,,"Dock name - multiple cities, needs human review"
destination,MANCHESTER,96,MAP,Manchester,Capitalization fix
destination,AVONMOUTH DOCK,91,REVIEW,,Dock/wharf - needs context to determine city
destination,HORNBY DOCK,90,REVIEW,,Dock/wharf - needs context to determine city
destination,A SUBSTANTIAL GUARANTEE GIVEN WITH EVERY MAIN DRIVING BELT,80,ERROR,,OCR error - journal header/advertisement
destination,VICTORIA AND ALBERT DOCK,75,REVIEW,,"Dock name - multiple cities, needs human review"
destination,PINE,66,ERROR,,"Commodity name, not a port"
destination,RAILWAY DOCK,65,REVIEW,,"Dock name - multiple cities, needs human review"
destination,GARSTON DOCK,59,REVIEW,,Dock/wharf - needs context to determine city
destination,METHIL,55,MAP,Methil,Capitalization fix
destination,QUEEN'S DOCK,55,REVIEW,,"Dock name - multiple cities, needs human review"
destination,TOXTETH DOCK,54,REVIEW,,Dock/wharf - needs context to determine city
destination,BROCKLEBANK DOCK,51,REVIEW,,Dock/wharf - needs context to determine city
destination,WEST INDIA DOCK,49,REVIEW,,"Dock name - multiple cities, needs human review"
destination,PRESTON,49,MAP,Preston,Capitalization fix
destination,OTHER DOCKS,48,REVIEW,,Dock/wharf - needs context to determine city
destination,SPRUCE,47,ERROR,,"Commodity name, not a port"
destination,BIRKENHEAD DOCK,45,REVIEW,,Dock/wharf - needs context to determine city
destination,TILBURY DOCK,43,REVIEW,,Dock/wharf - needs context to determine city
destination,PITCH PINE,41,ERROR,,"Commodity name, not a port"
destination,CARRIERS' DOCK,41,REVIEW,,Dock/wharf - needs context to determine city
destination,GRAVESEND,39,MAP,Gravesend,Capitalization fix
destination,LANGTON DOCK,39,REVIEW,,Dock/wharf - needs context to determine city
destination,REVIEWS,36,ERROR,,OCR error - journal header/advertisement
destination,SURREY DOCKS,33,REVIEW,,Dock/wharf - needs context to determine city
destination,HAVRE,33,MAP,Havre,Capitalization fix
destination,HARRINGTON DOCK,31,REVIEW,,Dock/wharf - needs context to determine city
destination,HUSKISSON DOCK,30,REVIEW,,Dock/wharf - needs context to determine city
destination,MOULDING,30,ERROR,,"Commodity name, not a port"
destination,KIRKWALL,29,MAP,Kirkwall,Capitalization fix
destination,EDINBURGH,28,MAP,Edinburgh,Capitalization fix
destination,ALBANY,27,MAP,Albany,Capitalization fix
