port_type,original_port,ship_count,best_match_canonical,similarity_score,normalization_tier,year_range,action,map_to_port,notes,web_search_query
=== INSTRUCTIONS ===,Fill in ACTION column,,Options:,ACCEPT = accept as-is,MAP = map to canonical,ERROR = mark as error,<-- Fill this,"<-- If MAP, specify port here",Optional notes,Copy this to browser
origin,Oresund,1409,Porsgrund,0.750,fuzzy_low,1885-1885,ACCEPT,,Øresund Sound - legitimate reporting point (fix 1407 duplicates separately),Oresund timber port 1880s
origin,Memel,713,,,unmapped,1874-1888,MAP,Klaipeda,Auto-mapped (known variant),Memel timber port 1880s
origin,Gefle,662,,,unmapped,1874-1888,,,,Gefle timber port 1880s
origin,Archangel,558,Arkhangelsk,0.800,fuzzy_low,1874-1887,MAP,Arkhangelsk,Auto-mapped (known variant),Archangel timber port 1880s
origin,Dram,228,Durham,0.800,fuzzy_low,1874-1887,MAP,Drammen,Auto-mapped (known variant),Dram timber port 1880s
origin,Redon,188,,,unmapped,1877-1887,,,,Redon timber port 1880s
origin,Hennebont,156,,,unmapped,1877-1887,,,,Hennebont timber port 1880s
origin,Auray,107,,,unmapped,1877-1888,,,,Auray timber port 1880s
origin,Drontheim,106,Trondheim,0.778,fuzzy_low,1874-1888,MAP,Trondheim,Auto-mapped (known variant),Drontheim timber port 1880s
origin,Vannes,96,,,unmapped,1877-1887,,,,Vannes timber port 1880s
origin,Pierreville and Quebec,86,,,unmapped,1885-1885,,,,Pierreville and Quebec timber port 1880s
origin,Richibucto,84,Richibouctou,0.909,fuzzy_medium,1874-1887,MAP,Richibouctou,Auto-mapped (known variant),Richibucto timber port 1880s
origin,Neder Kalix,83,,,unmapped,1877-1887,,,,Neder Kalix timber port 1880s
origin,Calmar,82,Kalmar,0.833,fuzzy_low,1874-1887,MAP,Kalmar,Auto-mapped (known variant),Calmar timber port 1880s
origin,Falkenburg,79,Falkenberg,0.900,fuzzy_medium,1875-1885,MAP,Falkenberg,Auto-mapped (known variant),Falkenburg timber port 1880s
origin,l'Orient,72,,,unmapped,1879-1881,,,,l'Orient timber port 1880s
origin,Mandal,70,Arendal,0.769,fuzzy_low,1874-1887,,,,Mandal timber port 1880s
origin,Shediac,69,,,unmapped,1874-1887,,,,Shediac timber port 1880s
origin,Lorient,65,Kyloren,0.714,fuzzy_low,1877-1887,,,,Lorient timber port 1880s
origin,Blaye,61,,,unmapped,1885-1887,,,,Blaye timber port 1880s
origin,Warberg,61,Marieberg,0.750,fuzzy_low,1881-1887,,,,Warberg timber port 1880s
origin,Sandefjord,60,,,unmapped,1875-1887,,,,Sandefjord timber port 1880s
origin,Three Rivers,58,,,unmapped,1874-1887,,,,Three Rivers timber port 1880s
origin,Monsteras,58,Montreal,0.706,fuzzy_low,1875-1887,,,,Monsteras timber port 1880s
origin,St. Brieux,54,,,unmapped,1879-1886,,,,St. Brieux timber port 1880s
origin,Corunna,52,Brunna,0.769,fuzzy_low,1879-1888,,,,Corunna timber port 1880s
origin,Nyvik,51,Dyrvik,0.727,fuzzy_low,1874-1879,,,,Nyvik timber port 1880s
origin,Xiania,48,,,unmapped,1879-1881,,,,Xiania timber port 1880s
origin,Tonsberg,46,Konigsberg,0.778,fuzzy_low,1875-1887,,,,Tonsberg timber port 1880s
origin,Bay Verte,45,Bay de Verde,0.762,fuzzy_low,1879-1887,,,,Bay Verte timber port 1880s
origin,Quimper,44,,,unmapped,1877-1887,,,,Quimper timber port 1880s
origin,Wifstawarf,43,,,unmapped,1874-1887,,,,Wifstawarf timber port 1880s
origin,Westervik,42,Vastervik,0.778,fuzzy_low,1881-1887,,,,Westervik timber port 1880s
origin,Roche Bernard,41,,,unmapped,1877-1887,,,,Roche Bernard timber port 1880s
origin,La Rochelle,40,,,unmapped,1877-1888,,,,La Rochelle timber port 1880s
origin,Langesund,39,Bangsund,0.824,fuzzy_low,1877-1887,,,,Langesund timber port 1880s
origin,Villagarcia,38,,,unmapped,1881-1888,,,,Villagarcia timber port 1880s
origin,Morlaix,35,,,unmapped,1881-1888,,,,Morlaix timber port 1880s
origin,Fiume,34,,,unmapped,1881-1887,,,,Fiume timber port 1880s
origin,Havre,33,Le Havre,0.769,fuzzy_low,1874-1888,MAP,Le Havre,Auto-mapped (known variant),Havre timber port 1880s
origin,Constantinople,31,,,unmapped,1874-1881,,,,Constantinople timber port 1880s
