original_port,ship_count,category_hint,action,map_to_port,notes
W. C. Africa,54,high_value,,,
Trehiguier,10,high_value,,,
Pyterlaks,10,high_value,,,
Snaroen,10,high_value,,,
Wederlaks,10,high_value,,,
Magdalen River,9,legitimate_minor,,,
Soon,8,legitimate_minor,,,
Tupilco,7,legitimate_minor,,,
Gaspe,7,legitimate_minor,,,
Taganrog,7,legitimate_minor,,,
Charlestown,7,legitimate_minor,,,
Wifstavarf,7,legitimate_minor,,,
Tillingnabben,7,legitimate_minor,,,
Lysekil,7,legitimate_minor,,,
Fredrickshald,7,legitimate_minor,,,
Drag,7,legitimate_minor,,,
Forsgrund,7,legitimate_minor,,,
Uto,7,legitimate_minor,,,
"Brunswick, Ga.",7,legitimate_minor,,,
Schiedam,7,legitimate_minor,,,
Solstadstrom,7,legitimate_minor,,,
Sando,7,legitimate_minor,,,
Odense,7,legitimate_minor,,,
"Portland, Me.",7,legitimate_minor,,,
Ny Carleby,6,legitimate_minor,,,
Wiscasset,6,legitimate_minor,,,
Summerside,6,legitimate_minor,,,
Ekenas,6,legitimate_minor,,,
Havana,6,legitimate_minor,,,
Svano,6,legitimate_minor,,,
Barahona,6,legitimate_minor,,,
Lockno,6,legitimate_minor,,,
Parrsbro',6,legitimate_minor,,,
F'stadt,6,legitimate_minor,,,
Southampton,6,legitimate_minor,,,
Louvain,6,legitimate_minor,,,
Oskarshamn,6,legitimate_minor,,,
Brahestad,6,legitimate_minor,,,
Wiborg,6,legitimate_minor,,,
Treguier,6,legitimate_minor,,,
Konigsburg,6,legitimate_minor,,,
Hull,6,legitimate_minor,,,
Warburg,6,legitimate_minor,,,
Old Harbour,6,legitimate_minor,,,
Jerfed,6,legitimate_minor,,,
Grand Pabos,6,legitimate_minor,,,
Berbice,6,legitimate_minor,,,
Brazil,6,legitimate_minor,,,
Campbeltown,6,legitimate_minor,,,
Nystad,6,legitimate_minor,,,
"Portland, O.",6,legitimate_minor,,,
Brunne,6,legitimate_minor,,,
