port_type,port_name,ship_count

=== DESTINATION PORTS ===,,
destination,TILBURY DOCK,355
destination,QUEEN'S DOCK,326
destination,CURRENT PRICES,103
destination,RUNCORN,101
destination,LONDON DOCKS,98
destination,IRVINE,96
destination,TIMBER,94
destination,COBURG DOCK,80
destination,DEPTFORD BUOYS,70
destination,UNION DOCK,51
destination,SILVERTOWN,48
destination,BOSTON DOCK,48
destination,CLIFFE CREEK,47
destination,NEW YORK,45
destination,MIDDLESBRO',45
destination,NELSON DOCK,45
destination,SURREY DOCKS,42
destination,PRINCE'S DOCK,37
destination,RYE,36
destination,RECORD OUTPUT OF TIMBER,36
destination,TOWER DOCK,35
destination,PETITION PRESENTED,33
destination,RUNCORN DOCK,33
destination,SIMPLE IN CONSTRUCTION,32
destination,LONDON DOCK,30
destination,PURFLEET,29
destination,BRUNSWICK DOCK,29
destination,NEWPORT (MON),29
destination,NOTICES TO CREDITORS,28
destination,DIVIDENDS,27
destination,STIRLING,21
destination,COLLINSON & LOCK,21
destination,BURRYPORT,20
destination,SKIBBEREEN,20
destination,TILBURY,20
destination,MENT,18
destination,WELLINGTON DOCK,18
destination,WINTERS,18
destination,ON,18
destination,QUEBEC,17
destination,PRINCES DOCK,17
destination,TICES,16
destination,FIR,15
destination,RESULTS OF TENDERS,15
destination,FOREIGN,15
destination,PENICUIK,14
destination,PETITIONS PRESENTED,14
destination,OCK,14
destination,CREDITORS FULLY SECURED,13
destination,KEN,13
destination,PETITION PRESENTED FOR CESSIO,13
destination,ING,13
destination,COUNTER TOP,13
destination,ST,12
destination,INTER TOPS,11
destination,REGENT'S DOCK,11
destination,LONDON. DOCKS,11
destination,WOODBRIDGE,10
destination,TENDERS OPEN,10
destination,NEWPORT MON,10
destination,TION,10
destination,SUTTON BRIDGE,9
destination,WIGTOWN,9
destination,TOWN DOCK,9
destination,EXPORTS,9
destination,CLIFF'S CREEK,8
destination,QUEENBORO',8
destination,PROCEEDINGS UNDER CESSIO,8
destination,BROWN & KRUSE,8
destination,TOWN DOCKS,8
destination,BELLYWOOD,8
destination,WOOD,8
destination,N,8
destination,LONDON N.E,8
destination,CLOSED,8
destination,BULL DOCK,8
destination,W. I. D. BUOYS,7
destination,SEE SPECIMENS,7
destination,QUEENSTOWN,7
destination,BUTE DOCK,7
destination,BORROWSTOWNESS,7
destination,JOINERY OF EVERY DESCRIPTION,7
destination,GOVERNMENT DOCK BUOYS,7
destination,OLE COURT,6
destination,PETITIONS PRESENTED FOR CESSIO,6
destination,DOCKS,6
destination,SUPPLEMENT,6
destination,... ... M G & CO,6
destination,& CO,6
destination,BUILDERS' CLERKS' BENEVOLENT INSTITUTION,5
destination,DS,5
destination,LUDWIG WULFERT'S BELLY WOOD,5
destination,POOL,5
destination,FILES,5
destination,SQ,5
destination,M. S. RENNIE & CO,5
destination,ION,5
destination,ENSE BELTS,4
destination,T. W. DUSSEK,4
destination,SPEED,4
destination,MOULDS,4
destination,T,4
destination,CORRESPONDENCE,3
destination,BUILDING NEWS,3
destination,E.C,3
destination,& COFFIN STUFF,3
destination,TREES,3
destination,TENDERS,3
destination,DOORS,3
destination,LINDEN WOOD,3
destination,LONGTON DOCK,3
destination,BEDFORD,3
destination,KINGS LYNN,3
destination,L & CO,3
destination,TUNNEL PIER,3
destination,SILVERTON,3
destination,NE,2
destination,UNDER,2
destination,DULDING,2
destination,SURREY DOCK,2
destination,WIDNES,2
destination,TILLOTSON'S DOCK,2
destination,DRYING KILNS,2
destination,R TOPS,2
destination,GEORGE MERRYLEES & CO,2
destination,QUEBEC DOCK,2
destination,SURG,2
destination,ND,2
destination,VERPOOL,2
destination,VIGERS BROS,2
destination,WIDNES DOCK,2
destination,TOWER,2
destination,CLIFFE,2
destination,QUEBEC DOCKS,1
destination,EKS WYZED,1
destination,E. U,1
destination,BIDEFORD,1
destination,MEETING,1
destination,TRCON,1
destination,WICKLOW,1
destination,Z,1
destination,FIRES,1
destination,LBEBT DOCKS,1
destination,DOCK FIRES IN LIVERPOOL,1
destination,DON,1
destination,VIK,1
destination,PORTS,1
destination,LIMITED,1
destination,DEY FLOORING,1
destination,R.B,1
destination,CROSSBY DOCK,1
destination,COBURG DOCKS,1
destination,MIDDLESBRO,1
destination,TES GIVEN,1
destination,MESSRS. GROMOFF & CO,1
destination,BRIDPORT,1
destination,CORRESPONDENCE SOLICITED,1
destination,EX PORT MELBOURNE,1
destination,DO FEET SUPER,1
destination,CORRECTION,1
destination,WEMYSS,1

=== ORIGIN PORTS ===,,
origin,Riga,3907
origin,Gothenburg,3216
origin,New York,2494
origin,Quebec,2169
origin,Bordeaux,2069
origin,Sundswall,1837
origin,Christiania,1695
origin,Rotterdam,1328
origin,Danzig,1305
origin,Drammen,1146
origin,Stettin,1080
origin,Montreal,990
origin,Soderhamn,979
origin,Boston,968
origin,Fredrikstad,852
origin,Porsgrund,841
origin,Pensacola,751
origin,Laurvig,705
origin,Christiansand,661
origin,Bjorneborg,661
origin,Baltimore,650
origin,New Orleans,636
origin,Miramichi,613
origin,Kotka,611
origin,Halmstad,577
origin,Arendal,556
origin,Konigsberg,543
origin,St. Petersburg,525
origin,Oscarshamn,524
origin,Bayonne,503
origin,Hudikswall,434
origin,Skien,421
origin,Wyborg,410
origin,Risoer,402
origin,Stockholm,381
origin,Uleaborg,368
origin,Brevig,359
origin,Skelleftea,335
origin,Philadelphia,334
origin,Skutskar,330
origin,Falkenberg,316
origin,Lulea,308
origin,Hamburg,283
origin,Uddevalla,271
origin,Mobile,246
origin,Abo,243
origin,Helsingfors,242
origin,Ljusne,224
origin,Pitea,221
origin,Narva,212
origin,St. John,206
origin,Rafso,202
origin,Rangoon,200
origin,Tvedestrand,188
origin,Kragero,185
origin,Nyhamn,173
origin,St,169
origin,Holmestrand,162
origin,Halifax,161
origin,Nantes,157
origin,Skonvik,154
origin,Moss,153
origin,Sandarne,152
origin,Onega,151
origin,Trieste,150
origin,Darien,147
origin,Norfolk,136
origin,Tornea,128
origin,Norrkoping,120
origin,Kemi,117
origin,Dordt,111
origin,Newport News,110
origin,Dalhousie,107
origin,Bremen,105
origin,Portland,96
origin,Grimstad,92
origin,Kramfors,91
origin,Pascagoula,90
origin,Apalachicola,88
origin,Hommelvik,88
origin,Kalmar,88
origin,Belize,87
origin,Iggesund,87
origin,Pierreville and Quebec,86
origin,Antwerp,86
origin,Soroka,84
origin,Pauillac,82
origin,Jamaica,81
origin,Bathurst,79
origin,Minatitlan,78
origin,Carlscrona,78
origin,Amsterdam,77
origin,Dieppe,76
origin,Namsos,75
origin,Odessa,74
origin,Saguenay,73
origin,Holmsund,73
origin,Nederkalix,72
origin,Husum,72
origin,Borga,71
origin,Savannah,71
origin,Umea,69
origin,Demerara,69
origin,San Francisco,68
