record_id,arrival_year,source_file,line_number,ship_name,origin_port,destination_port,row_count,clause_indicators,raw_line
79511,1899,18990520p.812_p002.txt,40,Atlanta,"Bournes & Dolton, from Norrkoping",LONDON,0,5,"Atlanta(s)—Bournes & Dolton, from Norrkoping—Dolton, Bournes & Dolton—3,495 doors; 1,443 bdls. mouldings, 8,613 deals and battens."
78858,1899,18990311p.317_p001.txt,297,Carl XV.,Gothenburg,LONDON (LONDON DOCK),0,5,"7 Carl XV.—Gothenburg—9,721 pkgs. box- boards—W. and C. Pantin ; 2,844 (80 bdls.)"
81570,1899,18990826p.227_p004.txt,92,Osborne,Philadelphia,LONDON (TILBURY DOCK),0,4,"21 Osborne (s) - Philadelphia - 4,462 pcs. squares-C. Leary & Co. ; 927 pcs. oak."
95822,1875,"7. p. 106-110 - July 24 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p002.txt",149,Gustaf,Gothenburg,LONDON,0,3,"July 14. Gustaf @ Gothenburg,—a quantity of timber, P. Osbeck; a quantity of flooring boards, Hardy Brothers."
95823,1875,"7. p. 106-110 - July 24 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p002.txt",150,Carl xv.,Gothenburg,LONDON,0,3,"Carl xv. @ Gothenburg,—a quantity of battens, Hardy Brothers; a quantity of pit props, sleepers, headings and boards, P. Osbeck."
95751,1875,"7. p. 106-110 - July 24 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p002.txt",62,Bohemian,Constantinople,LONDON,0,2,"Bohemian (s) @ Constantinople,—lignum vitæ, Duranty & Co."
95753,1875,"7. p. 106-110 - July 24 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p002.txt",64,Loanda,W. C. Africa,LONDON,0,2,"Loanda (s) @ W. C. Africa,—ebony, Cowper, Scott, & Co."
23204,1881,18810618p.388_p002.txt,52,Jeanette,Drammen,LONDON,0,2,"Jeanette-Drammen - 161-3-2 floorings, &c.-Thornham, Reynoldson"
24301,1881,18810723p.64_p001.txt,173,De Altet Sodskende,Kotka,LONDON,0,2,De Altet Sodskende-Kotka-Order Lorne (s) - Konigsberg-Order
54939,1891,18910103p.15_p002.txt,38,Persian Monarch,New York,LONDON,0,2,"Persian Monarch (s)-New York-[?]  Imported Teak Planks, in all thicknesses and widths, are sold by Hoar & Brown, Earl's Wharf, West India Docks, E. Telegrams—""Hornbeam, London,"" Telephone 5105."
65715,1893,18930624p.794_p002.txt,206,Higgs,", Barton",LONDON (TILBURY DOCKS),0,2,"Higgs —, Barton-on-Humber ... ... ... 79 9 3"
16221,1879,18790830p.156_p001.txt,133,Gylfe,Sault,LONDON,0,1,"Gylfe-Sault-au-Cochon-dls., &c.-Price & Co."
15587,1879,18790816p.139_p001.txt,82,G. E. Arnold laths,Order Sorata,LONDON,0,1,"G. E. Arnold laths-Order Sorata-Halifax, N.S.-deals, &c.-Order"
26343,1881,18810903p.160_p002.txt,90,Milan,Cronstadt,LONDON,0,1,"Milan (s)-Cronstadt-256-0-17 deals, battens, &c.-Horsley, Smith, & Co."
26346,1881,18810903p.160_p002.txt,93,O. Von Salstorff,Archangel,LONDON,0,1,"29 O. Von Salstorff-Archangel-185-1-13 deals, &c.-Order"
26351,1881,18810903p.160_p002.txt,99,Iphigenia,Archangel,LONDON,0,1,"Iphigenia-Archangel-87-0-7 deals, &c.-Order"
26357,1881,18810903p.160_p002.txt,105,Capella,Archangel,LONDON,0,1,"Capella-Archangel-83-1-21 deals, battens, &c.-Barkworth & Spaldin"
26358,1881,18810903p.160_p002.txt,106,Rose Middleton,Soderhamn,LONDON,0,1,"Rose Middleton (s)-Soderhamn-324-1-3 battens, boards, &c.-Order"
24294,1881,18810723p.64_p001.txt,161,Armon,Danzig,LONDON,0,1,"Armon-Danzig-Order Gerda-Kotka-215 fms. firewood-618 pcs. sawn timber, 282 spars, 200 boards-Master"
33865,1883,18830609p.398_p001.txt,182,Amazon,Gefle,LONDON,0,1,"Amazon-Gefle-96-2-27 deals, battens, &c.-Jameson & Co."
