port_name,original_count,normalized_count,cleaned_count,total_occurrences,first_appears,notes
A,3,3,0,3,original,removed as artifact
A LARGE STOCK KEPT,1,1,1,1,original,
ABERDEEN,124,0,0,124,original,removed as artifact
ABERYSTWITH,25,0,0,25,original,removed as artifact
ALBANY,27,0,0,27,original,removed as artifact
ALBERT DOCKS,2,2,2,2,original,
ALLOA,438,0,0,438,original,removed as artifact
AND VIENNA,1,1,1,1,original,
ANTWERP,12,0,0,12,original,removed as artifact
ARBROATH,14,0,0,14,original,removed as artifact
ARDROSSAN,20,0,0,20,original,removed as artifact
ARRIVALS IN DUNDEE,3,3,3,3,original,
AT AVONMOUTH,2,2,2,2,original,
AT AVONMOUTH DOCKS,1,1,1,1,original,
AT NEW ORLEANS,11,0,0,11,original,removed as artifact
AVONMOUTH DOCK,3,3,3,3,original,
AYR,49,0,0,49,original,removed as artifact
Aberdeen,0,124,124,124,normalized,consolidated to parent city
Aberystwith,0,25,25,25,normalized,consolidated to parent city
Albany,0,27,28,28,"normalized, cleaned",consolidated to parent city
Alloa,0,438,438,438,normalized,consolidated to parent city
Antwerp,0,12,15,15,"normalized, cleaned",consolidated to parent city
Arbroath,0,14,14,14,normalized,consolidated to parent city
Ardrossan,0,20,20,20,normalized,consolidated to parent city
Ayr,0,49,49,49,normalized,consolidated to parent city
B.,0,0,1,1,cleaned,consolidated to parent city
B. AND F. S. WHARF,1,1,0,1,original,removed as artifact
BANFF,27,0,0,27,original,removed as artifact
BARK MERCHANTS,1,1,1,1,original,
BARKING CREEK,1,1,1,1,original,
BARNARD'S,0,0,2,2,cleaned,consolidated to parent city
BARNARD'S WHARF,2,2,0,2,original,removed as artifact
BARNSTAPLE,13,0,0,13,original,removed as artifact
BARROW,49,0,0,49,original,removed as artifact
BARROWSTOUNESS,3,0,0,3,original,removed as artifact
BEAUMARIS,23,0,0,23,original,removed as artifact
BELFAST,265,265,265,265,original,
BELL,0,0,2,2,cleaned,consolidated to parent city
BELL WHARF,2,2,0,2,original,removed as artifact
BERWICK,20,0,0,20,original,removed as artifact
BIDEFORD,1,0,0,1,original,removed as artifact
BILLS OF SALE,1,1,0,1,original,removed as artifact
BO'NESS,287,287,294,294,"original, cleaned",consolidated to parent city
BONESS,5,5,5,5,original,
BORROWSTONESS,16,0,0,16,original,removed as artifact
BORROWSTOUNESS,17,0,0,17,original,removed as artifact
BORROWSTOUNNESS,594,0,0,594,original,removed as artifact
BORROWSTOWNESS,1,0,0,1,original,removed as artifact
BORROWSTOWNNESS,2,0,0,2,original,removed as artifact
BOSTON,52,0,0,52,original,removed as artifact
BREWER'S QUAY,6,6,6,6,original,
BRIDGEWATER,1,0,0,1,original,removed as artifact
BRIDGWATER,46,0,0,46,original,removed as artifact
BRISTOL,595,0,0,595,original,removed as artifact
BURT'S,0,0,22,22,cleaned,consolidated to parent city
BURT'S WHARF,22,22,0,22,original,removed as artifact
BUTLER'S,0,0,1,1,cleaned,consolidated to parent city
BUTLER'S WHARF,1,1,0,1,original,removed as artifact
BY COMMERCIAL DOCKS,1,1,1,1,original,
BY ROYAL ALBERT DOCK,1,1,1,1,original,
BY SURREY COMMERCIAL DOCKS,4,4,4,4,original,
BY VICTORIA DOCKS,1,1,1,1,original,
Banff,0,27,27,27,normalized,consolidated to parent city
Barnstaple,0,13,13,13,normalized,consolidated to parent city
Barrow,0,49,49,49,normalized,consolidated to parent city
Beaumaris,0,23,23,23,normalized,consolidated to parent city
Berwick,0,20,20,20,normalized,consolidated to parent city
Borrowstounness,0,633,634,634,"normalized, cleaned",consolidated to parent city
Boston,0,52,52,52,normalized,consolidated to parent city
Bridgwater,0,47,47,47,normalized,consolidated to parent city
Bristol,0,595,629,629,"normalized, cleaned",consolidated to parent city
CAERNARVON,3,0,0,3,original,removed as artifact
