port_name,original_count,normalized_count,cleaned_count,total_occurrences,first_appears,notes
'Hambro',2,0,0,2,original,removed as error
.,2,2,0,2,original,removed as error
Aaland,1,1,1,1,original,
Aalborg,1,3,3,3,"original, normalized",count changed in cleanup
Aalesund,2,4,4,4,"original, normalized",count changed in cleanup
Aalsund,2,0,0,2,original,removed as error
Aamaes,1,1,1,1,original,
Aarhus,1,1,1,1,original,
Aarhuus,6,6,6,6,original,
Aasgaardstrand,4,6,6,6,"original, normalized",count changed in cleanup
Aasgaarstrand,1,0,0,1,original,removed as error
Aasgardstrand,1,0,0,1,original,removed as error
Aberdeen,1,1,1,1,original,
Ablafors,2,2,2,2,original,
Abo,82,82,82,82,original,
Abyn,9,9,9,9,original,
Abyu,1,1,1,1,original,
Adler,1,1,1,1,original,
Aguste,1,1,1,1,original,
Ahla,1,1,1,1,original,
Ahlafors,30,30,30,30,original,
Ahlators,1,1,1,1,original,
Ahlo,1,1,1,1,original,
Akyab,4,4,4,4,original,
Aland,2,2,2,2,original,
Alderney,1,1,1,1,original,
Alexandria,2,2,2,2,original,
Aleyn,1,1,1,1,original,
Alfred,1,1,1,1,original,
Alfredsham,2,4,4,4,"original, normalized",count changed in cleanup
Alfredshamn,2,0,0,2,original,removed as error
"Alma, N.B.",1,1,1,1,original,
Almeria,1,1,1,1,original,
Almvik,1,1,1,1,original,
Alne,1,1,1,1,original,
Altona,1,1,1,1,original,
Altu,0,1,1,1,normalized,inferred from context
Alufors,1,1,1,1,original,
Alvik,1,1,1,1,original,
Amo,1,1,1,1,original,
Amsterdam,30,30,30,30,original,
Anciola,1,1,1,1,original,
Ancona,1,1,1,1,original,
Anga,3,3,3,3,original,
Anna,1,1,1,1,original,
Annapolis,5,5,5,5,original,
"Annapolis, N.S.",1,1,1,1,original,
Antigua,1,1,1,1,original,
Antwerp,30,30,30,30,original,
Apalachicola,40,40,40,40,original,
Ar-ndal,1,0,0,1,original,removed as error
Arcachon,27,28,28,28,"original, normalized",count changed in cleanup
Archangel,558,560,560,560,"original, normalized",count changed in cleanup
Archangl.,1,0,0,1,original,removed as error
Areachon,1,0,0,1,original,removed as error
Arehangel,1,0,0,1,original,removed as error
Arend,1,1,1,1,original,
Arendal,230,233,234,234,"original, normalized, cleaned",count changed in cleanup
Arenos,1,1,1,1,original,
Areudal,1,0,0,1,original,removed as error
Arno,13,13,13,13,original,
Arno Ansag,1,1,1,1,original,
Arthur,1,1,1,1,original,
Aruskjoldvick,1,1,1,1,original,
Asbacka,13,15,15,15,"original, normalized",count changed in cleanup
Asbacker,1,1,1,1,original,
Asbacks,1,0,0,1,original,removed as error
Asbecka,1,0,0,1,original,removed as error
Astoria,1,1,1,1,original,
Attona,1,1,1,1,original,
Attu,11,11,11,11,original,
Atu,1,0,0,1,original,removed as error
Auckland,2,2,2,2,original,
"Auckland, N.Z.",1,1,1,1,original,
Auray,107,107,107,107,original,
Aussig,1,1,1,1,original,
Australia,1,1,1,1,original,
Aviles,1,1,1,1,original,
Avonmouth,1,1,1,1,original,
Away,1,1,1,1,original,
Axmar,3,3,3,3,original,
Axmar Bruk,1,1,1,1,original,
B'torpshamn,1,1,1,1,original,
Backmann,1,1,1,1,original,
Baddeck,1,0,0,1,original,removed as error
Baddick,0,1,1,1,normalized,inferred from context
Badeck,1,1,1,1,original,
Bahia,14,14,14,14,original,
Ballsta,1,0,0,1,original,removed as error
Balnarte,1,1,1,1,original,
Baltic,1,1,1,1,original,
Baltimore,228,228,228,228,original,
"Baltimore, U.S.A.",1,1,1,1,original,
Balto,1,1,1,1,original,
Bangkok,2,2,2,2,original,
Bangor,15,15,16,16,"original, cleaned",count changed in cleanup
"Bangor, U.S.",2,2,2,2,original,
Bangsund,2,2,2,2,original,
Bankok,1,1,1,1,original,
Bannesund,1,0,0,1,original,removed as error
Bannow,1,1,1,1,original,
Baraharia,1,1,1,1,original,
Barahona,2,2,2,2,original,
Barnstaple,3,3,3,3,original,
Baronne,1,0,0,1,original,removed as error
Barquero,3,3,3,3,original,
Bassein,1,1,1,1,original,
Batavia,1,1,1,1,original,
Batekarnas,1,1,1,1,original,
Bath,1,1,1,1,original,
Bathurst,41,41,41,41,original,
"Bathurst, N.B.",9,9,9,9,original,
Batiscan,3,4,4,4,"original, normalized",count changed in cleanup
Batoum,1,1,1,1,original,
Batscan,1,0,0,1,original,removed as error
Batvik,5,5,5,5,original,
Bawik,1,1,1,1,original,
Bay Chaleur,1,1,1,1,original,
Bay Verte,45,46,46,46,"original, normalized",count changed in cleanup
"Bay Verte, Montreal",1,1,1,1,original,
"Bay Verte, N B.",1,1,1,1,original,
"Bay Verte, N.B.",8,8,8,8,original,
"Bay Verte, N.S.",3,3,3,3,original,
Bay de Verte,4,4,4,4,original,
"Bay de Verte, N.B.",1,1,1,1,original,
Bay of Islands,2,2,2,2,original,
Bayo nne,1,0,0,1,original,removed as error
Bayonne,203,205,205,205,"original, normalized",count changed in cleanup
Bayvert,1,0,0,1,original,removed as error
Beaufort,1,1,1,1,original,
"Beaufort, S.C.",2,2,2,2,original,
Belize,36,36,36,36,original,
Belle Isle,1,1,1,1,original,
Bellon,3,3,3,3,original,
Belon,4,4,4,4,original,
Bennetts & Co,1,1,1,1,original,
Benodet,1,1,1,1,original,
Bergen,2,2,2,2,original,
Berggvara,0,2,2,2,normalized,inferred from context
Bergqvara,24,24,24,24,original,
Bergrara,1,1,1,1,original,
Bergvara,1,0,0,1,original,removed as error
Bermuda,5,5,5,5,original,
Bersiamitz,1,0,0,1,original,removed as error
Bersimis,8,8,8,8,original,
Betsiamites,3,0,0,3,original,removed as error
Betsiamitz,4,8,8,8,"original, normalized",count changed in cleanup
Bideford,1,0,0,1,original,removed as error
Bidon,1,1,1,1,original,
Billien,1,1,1,1,original,
Billiers,1,1,1,1,original,
Bindalen,7,7,7,7,original,
Biornebora,1,1,1,1,original,
Bisor,1,1,1,1,original,
Bjerneborg,0,1,1,1,normalized,inferred from context
Bjneborg,1,0,0,1,original,removed as error
Bjorn-borg,1,0,0,1,original,removed as error
Bjornberg,1,1,1,1,original,
Bjornborg,1,0,0,1,original,removed as error
Bjorneborg,403,406,407,407,"original, normalized, cleaned",count changed in cleanup
Bjornemann,1,1,1,1,original,
Bjornkas,1,1,1,1,original,
Bjornsborg,1,0,0,1,original,removed as error
Bjornstorm,1,1,1,1,original,
Black River,3,3,3,3,original,
Blaye,61,61,61,61,original,
Bloody Bay,1,1,1,1,original,
Bolax,1,1,1,1,original,
Bolderaa,1,1,1,1,original,
Bollsta,24,26,26,26,"original, normalized",count changed in cleanup
Bollsta Bruk,1,1,1,1,original,
