issue_date,csv_ships,parser_v3_count,delta_v3_minus_csv
1899-09-09,0,154,154
1899-08-26,62,165,103
1899-08-19,85,180,95
1883-06-23,60,104,44
1897-06-26,31,62,31
1893-08-12,101,227,126
1899-09-16,86,165,79
1899-08-12,42,69,27
1899-06-17,48,68,20
1881-07-09,49,82,33
1895-07-27,88,137,49
1899-06-10,41,47,6
1891-09-26,61,110,49
1895-07-13,60,63,3
1891-07-25,29,35,6
1891-08-08,17,18,1
1899-08-05,54,67,13
1891-08-22,38,57,19
1899-06-03,69,90,21
1899-07-08,57,65,8
1897-06-05,64,79,15
1893-07-15,42,42,0
1891-09-19,145,242,97
1899-06-24,52,55,3
1893-09-23,44,44,0
1889-07-20,56,198,142
1893-08-26,113,164,51
1879-09-13,164,268,104
1893-09-02,154,281,127
1899-07-15,73,76,3
1891-07-11,65,66,1
1899-07-22,69,69,0
1889-06-22,80,80,0
1899-09-23,115,132,17
1893-07-22,70,70,0
1893-09-30,130,185,55
1881-09-17,245,405,160
1899-07-29,75,76,1
1891-07-18,74,74,0
1899-09-30,104,131,27
1897-06-12,80,81,1
1893-06-10,110,122,12
1893-06-24,115,134,19
1897-06-19,80,80,0
1895-07-20,83,83,0
1889-08-10,86,86,0
1895-09-14,127,162,35
1893-07-29,128,162,34
1893-06-17,95,98,3
1895-07-06,95,95,0
1893-07-01,91,91,0
1889-09-28,98,101,3
1879-06-21,163,218,55
1881-08-27,208,348,140
1895-08-03,101,101,0
1883-07-14,218,243,25
1895-08-10,113,114,1
1881-06-11,112,113,1
1891-09-12,110,110,0
1879-08-16,303,477,174
1899-07-01,114,114,0
1893-07-08,115,115,0
1889-06-29,118,118,0
1889-06-01,147,160,13
1881-06-18,127,129,2
1893-08-05,135,138,3
1881-06-25,129,129,0
1883-06-10,151,153,2
1893-06-03,145,146,1
1881-07-16,146,146,0
1895-09-21,147,147,0
1889-06-15,156,158,2
1883-09-15,179,180,1
1889-06-08,159,159,0
1891-08-15,163,164,1
1891-06-27,164,164,0
1883-06-09,169,169,0
1881-07-02,178,179,1
1893-09-09,227,273,46
1895-09-28,171,171,0
1895-09-07,181,181,0
1883-07-07,221,223,2
1891-06-13,185,185,0
1899-09-02,222,239,17
1881-06-04,200,200,0
1893-09-16,186,186,0
1881-08-13,261,332,71
1883-06-02,195,195,0
1891-08-01,198,198,0
1895-08-24,197,197,0
1891-06-06,202,202,0
1883-08-11,213,214,1
1893-08-19,208,208,0
1891-06-20,216,222,6
1881-07-30,209,209,0
1891-09-05,214,214,0
1889-07-06,214,214,0
1881-07-23,216,219,3
1891-07-04,214,214,0
1895-08-31,214,214,0
1881-09-10,379,540,161
1889-07-27,230,231,1
1881-08-06,227,227,0
1879-06-07,235,235,0
1881-09-24,254,259,5
1879-08-02,290,327,37
1883-08-04,249,249,0
1883-07-21,261,262,1
1889-09-14,251,251,0
1879-07-05,251,251,0
1883-08-25,250,250,0
1883-07-28,261,261,0
1889-08-15,260,260,0
1895-08-17,273,274,1
1883-09-22,288,288,0
1889-09-07,324,363,39
1889-08-03,290,290,0
1889-08-31,294,295,1
1889-07-13,298,298,0
1889-08-24,346,380,34
1883-06-30,325,325,0
1883-09-01,342,342,0
1879-09-27,361,387,26
1881-08-20,338,338,0
1881-09-03,382,382,0
1889-09-21,399,399,0
1883-09-08,403,403,0
1889-08-17,407,407,0
1891-08-29,407,407,0
1883-08-18,432,435,3
1879-08-30,436,436,0
1879-07-10,465,465,0
1883-09-29,613,614,1
