source_file,line_number,ship_name,origin_port,destination_port,cargo,merchant,arrival_day,arrival_month,arrival_year,publication_day,publication_month,publication_year,is_steamship,format_type,confidence,raw_line
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",41,Empress,Trieste,LONDON,"1,300 staves, Nickols & Colven; 41,500 staves, H. & R. Fowler; 9,173 staves",Oppenheimer & Co,16,4,1875,1,5,1875,TRUE,early_at,medium,"Empress (s) @ Trieste,—1,300 staves, Nickols & Colven; 41,500 staves, H. & R. Fowler; 9,173 staves, Oppenheimer & Co."
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",41,Noumea,"Madras, &c.",LONDON,"22,313 pcs. redwood, two logs sapanwood, Order.",,16,4,1875,1,5,1875,FALSE,early_at,medium,"Noumea @ Madras, &c.,—22,313 pcs. redwood, two logs sapanwood, Order."
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",42,Fido,Christiania,LONDON,"102 bgs. wood pulp, J. Spicer & Co.; 1,669 planks, J. Neck & Sons; 8,047 boards, G. E. Arnold; 19,278 boards, Simson & Mason.",,17,4,1875,1,5,1875,TRUE,early_at,medium,"Fido (s) @ Christiania,—102 bgs. wood pulp, J. Spicer & Co.; 1,669 planks, J. Neck & Sons; 8,047 boards, G. E. Arnold; 19,278 boards, Simson & Mason."
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",42,Bayard,Fredrikstad,LONDON,"24 fms. firewood, 47,242 no. battens and boards",Tagart & Co,17,4,1875,1,5,1875,FALSE,early_at,medium,"Bayard @ Fredrikstad,—24 fms. firewood, 47,242 no. battens and boards, Tagart & Co."
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",42,Kulla,Fredrikstad,LONDON,"63,411 boards, 21 1/2 fms. firewood",Tagart & Co,17,4,1875,1,5,1875,FALSE,early_at,medium,"Kulla @ Fredrikstad,—63,411 boards, 21 1/2 fms. firewood, Tagart & Co."
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",42,Cecilia,Fredrikstad,LONDON,"174 fms. firewood, Order.",,17,4,1875,1,5,1875,FALSE,early_at,medium,"Cecilia @ Fredrikstad,—174 fms. firewood, Order."
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",42,Oscar,Fredrikstad,LONDON,"192 battens, 47,651 boards, 1,250 bdls. laths",Tagart & Co,17,4,1875,1,5,1875,FALSE,early_at,medium,"Oscar @ Fredrikstad,—192 battens, 47,651 boards, 1,250 bdls. laths, Tagart & Co."
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",43,Leopold,Havre,LONDON,"68 logs wood, 6 logs mahogany, 172 logs rosewood, 104 doz. deals, Order.",,19,4,1875,1,5,1875,TRUE,early_at,medium,"Leopold (s) @ Havre,—68 logs wood, 6 logs mahogany, 172 logs rosewood, 104 doz. deals, Order."
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",43,Creole,Danzig,LONDON,"8,648 doz. deals, Order. Orleans (s) @ Gothenburg,—(s) @ Gothenburg,—1,135 doz. deals, Order. Hero (s) @ Christiania,—1,006 staves, Order. boards, 582 deals, 950 bdls. laths, Order. Carl XV. Simson & Mason.",,19,4,1875,1,5,1875,FALSE,early_at,medium,"Creole @ Danzig,—8,648 doz. deals, Order. Orleans (s) @ Gothenburg,—(s) @ Gothenburg,—1,135 doz. deals, Order. Hero (s) @ Christiania,—1,006 staves, Order. boards, 582 deals, 950 bdls. laths, Order. C"
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",43,Hero,Christiania,LONDON,"1,006 staves, Order. staves, 35,000 treenails, Order.",,19,4,1875,1,5,1875,FALSE,early_at,medium,"Hero @ Christiania,—1,006 staves, Order. staves, 35,000 treenails, Order."
