source_file,line_number,ship_name,origin_port,destination_port,cargo,merchant,arrival_day,arrival_month,arrival_year,publication_day,publication_month,publication_year,is_steamship,raw_line
18930218p.303.txt,79,Urania,Port Blakeley,BARROW,40 lds. sawn fir,Master,9,2,1893,18,2,1893,False,Feb. 9 Urania-Port Blakeley-40 lds. sawn fir-Master
18930218p.303.txt,81,Wells City,New York,BRISTOL,100 lancewood spars,T. Williams,13,2,1893,18,2,1893,True,Feb. 13 Wells City -New York-100 lancewood spars-T. Williams
18930218p.303.txt,83,Boucan,Bayonne,CARDIFF,"1,100 lds. pitwood",A. Capelle,7,2,1893,18,2,1893,False,"Feb. 7 Boucan-Bayonne-1,100 lds. pitwood-A. Capelle"
18930218p.303.txt,84,Baron Hambro,Bordeaux,CARDIFF,700 lds. pitwood,"Powley, Thomas, & Co.",8,2,1893,18,2,1893,False,"Feb. 8 Baron Hambro-Bordeaux-700 lds. pitwood-Powley, Thomas, & Co."
18930218p.303.txt,85,Theophile Marie,Bordeaux,CARDIFF,700 lds. pitwood,"Watts, Ward, & Co.",9,2,1893,18,2,1893,False,"Feb. 9 Theophile Marie-Bordeaux-700 lds. pitwood-Watts, Ward, & Co."
18930218p.303.txt,86,James Wishart,Bordeaux,CARDIFF,"1,450 lds. pitwood","Watts, Ward, & Co.",13,2,1893,18,2,1893,False,"Feb. 13 James Wishart-Bordeaux-1,450 lds. pitwood-Watts, Ward, & Co."
18930218p.303.txt,88,Grimsby,Bordeaux,CARDIFF,700 lds. pitwood,L. Gueret,15,2,1893,18,2,1893,False,Feb. 15 Grimsby-Bordeaux-700 lds. pitwood-L. Gueret
18930218p.303.txt,90,Ingrid,Brevig,HARTLEPOOL (WEST),"1,198 pcs. hewn fir, 1,329 fir props",W. J. Watson & Co.,7,2,1893,18,2,1893,False,"Feb. 7 Ingrid-Brevig-1,198 pcs. hewn fir, 1,329 fir props-W. J. Watson & Co."
18930218p.303.txt,93,Derwent,Brevig,GRIMSBY,"4 spars, 60 fir oars",Grimsby Ice Co.,7,2,1893,18,2,1893,False,"Feb. 7 Derwent-Brevig-4 spars, 60 fir oars-Grimsby Ice Co."
18930218p.303.txt,94,Adolf,Gothenburg,GRIMSBY,18 lds. fir props,"C. Nielsen & Son; 40,413 fir props-J. W. Baird & Co.; 4,300 fir props-H. Hammond & Co.; 12,456 fir sleepers-W. Pearson & Co.; 1,552 fir props, 643 fir sleepers-G. Pyman & Co.; 1,000 fir sleepers-J. W.",13,2,1893,18,2,1893,True,"Feb. 13 Adolf -Gothenburg-18 lds. fir props-C. Nielsen & Son; 40,413 fir props-J. W. Baird & Co.; 4,300 fir props-H. Hammond & Co.; 12,456 fir sleepers-W. Pearson & Co.; 1,552 fir props, 643 fir sleepers-G. Pyman & Co.; 1,000 fir sleepers-J. W. Watson & Co."
