source_file,line_number,ship_name,origin_port,destination_port,cargo,merchant,arrival_day,arrival_month,arrival_year,publication_day,publication_month,publication_year,is_steamship,raw_line
18890112p.34.txt,8,Mod,Drammen,BRISTOL,"59,580 planed boards",Taylor & Low Bros.,3,1,1889,12,1,1889,False,"Jan. 3 Mod-Drammen-59,580 planed boards-Taylor & Low Bros."
18890112p.34.txt,12,Reaper,Drammen,CASTLETOWN,"10,073 flooring boards",Coole & Qualtrough,4,1,1889,12,1,1889,False,"Jan. 4 Reaper-Drammen-10,073 flooring boards-Coole & Qualtrough"
18890112p.34.txt,14,Dordogne,Bordeaux,CARDIFF,800 lds. pitwood,"Watts Ward, & Co.",1,1,1889,12,1,1889,False,"Jan. 1 Dordogne-Bordeaux-800 lds. pitwood-Watts Ward, & Co."
18890112p.34.txt,16,Roxburgh,Bordeaux,CARDIFF,800 lds. pitwood,Watts,2,1,1889,12,1,1889,False,2 Roxburgh-Bordeaux-800 lds. pitwood-Watts
18890112p.34.txt,17,Helsinger,Bordeaux,CARDIFF,938 lds. pitwood,Simkin Bros.,3,1,1889,12,1,1889,False,3 Helsinger -Bordeaux-938 lds. pitwood-Simkin Bros.
18890112p.34.txt,20,Valin,Bayonne,CARDIFF,800 lds. pitwood,Watts,5,1,1889,12,1,1889,False,5 Valin-Bayonne-800 lds. pitwood-Watts
18890112p.34.txt,22,Whitehall,Bordeaux,CARDIFF,750 lds. pitwood,"Watts, Ward, & Co.",7,1,1889,12,1,1889,True,"7 Whitehall -Bordeaux-750 lds. pitwood-Watts, Ward, & Co."
18890112p.34.txt,26,Star of Hope,Sandarne,COLCHESTER,24 lds. firewood,Robert Aldons,2,1,1889,12,1,1889,False,Jan. 2 Star of Hope-Sandarne-24 lds. firewood-Robert Aldons
18890112p.34.txt,28,Willem,Harlingen,FAVERSHAM,"9,243 deals and battens",Whitstable Shipping Co.,2,1,1889,12,1,1889,False,"Jan. 2 Willem-Harlingen-9,243 deals and battens-Whitstable Shipping Co."
18890112p.34.txt,30,Eutella,"Chatham, N.B.",GLOUCESTER,"30,078 deals",Barkworth & Spaldin,2,1,1889,12,1,1889,False,"Jan. 2 Eutella-Chatham, N.B.-30,078 deals-Barkworth & Spaldin"
18890112p.34.txt,31,Libertas,Riga,GLOUCESTER,"26,766 laths",Price & Co.,7,1,1889,12,1,1889,False,"7 Libertas-Riga-26,766 laths-Price & Co."
18890112p.34.txt,33,F. W. Jabens,Danzig,GRIMSBY,"750 pcs, oak, 60 sleepers",S. Ellis,3,1,1889,12,1,1889,False,"Jan. 3 F. W. Jabens-Danzig-750 pcs, oak, 60 sleepers-S. Ellis"
18890112p.34.txt,34,Hevelius,Danzig,GRIMSBY,"6 pcs. hewn fir, 704 pcs. hewn oak",W. Hitzen,4,1,1889,12,1,1889,False,"4 Hevelius-Danzig-6 pcs. hewn fir, 704 pcs. hewn oak-W. Hitzen"
18890112p.34.txt,37,Anton,Riga,HARTLEPOOL (WEST),"990 fir sleepers, 2,889 pcs. sawn fir",Lauder & Co.,2,1,1889,12,1,1889,False,"Jan. 2 Anton-Riga-990 fir sleepers, 2,889 pcs. sawn fir-Lauder & Co."
18890112p.34.txt,39,Sinloo,Memel,HARTLEPOOL (WEST),"145,413 oak staves",Pickford,3,1,1889,12,1,1889,False,"3 Sinloo-Memel-145,413 oak staves-Pickford"
18890112p.34.txt,42,Charlaw,Riga,HARTLEPOOL (WEST),"67,414 deals and boards",May & Hassell,4,1,1889,12,1,1889,True,"4 Charlaw -Riga-67,414 deals and boards-May & Hassell"
18890112p.34.txt,44,Gipsy Queen,Gothenburg,HARTLEPOOL (WEST),"8,911 props, 13,228 fir battens",T. Barraclough,7,1,1889,12,1,1889,True,"7 Gipsy Queen -Gothenburg-8,911 props, 13,228 fir battens-T. Barraclough"
18890112p.34.txt,47,Sappho,Riga,HULL,"37 fms. firewood, 14,181 deals",Order,3,1,1889,12,1,1889,True,"Jan. 3 Sappho -Riga-37 fms. firewood, 14,181 deals-Order"
18890112p.34.txt,51,Flamingo,Hamburg,HULL,121 pcs. wood,Wilson,7,1,1889,12,1,1889,True,7 Flamingo-Hamburg-121 pcs. wood-Wilson
18890112p.34.txt,52,Seagull,Rotterdam,HULL,800 pkgs. hoops,Order,8,1,1889,12,1,1889,True,8 Seagull -Rotterdam-800 pkgs. hoops-Order
18890112p.34.txt,55,Orlando,Gothenburg,HULL,"1,289 props",Smith,9,1,1889,12,1,1889,True,"9 Orlando -Gothenburg-1,289 props-Smith"
18890112p.34.txt,61,Istrian,Boston,LIVERPOOL,"600 bt. and 4,800 new staves",Hattley Hay,4,1,1889,12,1,1889,True,"Jan. 4 Istrian -Boston-600 bt. and 4,800 new staves-Hattley Hay"
18890112p.34.txt,90,Flown,Danzig,SURREY COMMERCIAL DOCKS,"13,063 oak staves",Churchill & Sim,3,1,1889,12,1,1889,False,"3 Flown-Danzig-13,063 oak staves-Churchill & Sim"
18890112p.34.txt,101,Saxon,Stockholm,MILLWALL DOCKS,"1,360 doors","J. Stewart ; 617 doors, 90 cs. trellis, 1,068 cs. mouldings-J. Smith & Co. ; 2,139 bdls., 217 cs. mouldings, 36 bdls., 1,964 no. doors, 102 bdls. shutter laths-H. Smyth",4,1,1889,12,1,1889,True,"4 Saxon -Stockholm-1,360 doors-J. Stewart ; 617 doors, 90 cs. trellis, 1,068 cs. mouldings-J. Smith & Co. ; 2,139 bdls., 217 cs. mouldings, 36 bdls., 1,964 no. doors, 102 bdls. shutter laths-H. Smyth"
18890112p.34.txt,109,Albatross,Bremen,ST. KATHARINE'S DOCKS,"1,263 beech planks",Order,8,1,1889,12,1,1889,True,"8 Albatross -Bremen-1,263 beech planks-Order"
