issue_date,year,month,day,status,ocr_files,ocr_pages,failed_count,failed_errors,ships_parsed,unprocessed_pdfs
1879-04-26,1879,04,26,OCR_COMPLETE,2,2,0,,108,0
1879-06-07,1879,06,07,OCR_COMPLETE,2,2,0,,235,0
1879-06-21,1879,06,21,OCR_COMPLETE,2,2,0,,163,0
1879-07-05,1879,07,05,OCR_COMPLETE,3,3,0,,251,0
1879-07-10,1879,07,10,OCR_COMPLETE,3,3,0,,465,0
1879-08-02,1879,08,02,OCR_COMPLETE,3,3,0,,290,0
1879-08-16,1879,08,16,OCR_COMPLETE,3,3,0,,303,0
1879-08-30,1879,08,30,OCR_COMPLETE,3,3,0,,436,0
1879-09-13,1879,09,13,OCR_COMPLETE,2,2,0,,164,0
1879-09-27,1879,09,27,OCR_COMPLETE,3,3,0,,361,0
1879-10-11,1879,10,11,OCR_COMPLETE,3,3,0,,176,0
1879-10-25,1879,10,25,OCR_COMPLETE,3,3,0,,126,0
1879-11-08,1879,11,08,OCR_COMPLETE,4,4,0,,523,0
1879-11-22,1879,11,22,OCR_COMPLETE,2,2,0,,157,0
1879-12-06,1879,12,06,OCR_COMPLETE,3,3,0,,141,0
1879-12-20,1879,12,20,OCR_COMPLETE,2,2,0,,176,0
1881-01-01,1881,01,01,OCR_COMPLETE,1,1,0,,0,0
1881-01-08,1881,01,08,PARTIAL_FAIL,2,2,1,MAX_TOKENS,80,0
1881-01-15,1881,01,15,OCR_COMPLETE,1,1,0,,84,0
1881-01-22,1881,01,22,OCR_COMPLETE,2,2,0,,81,0
1881-01-29,1881,01,29,OCR_COMPLETE,1,1,0,,0,0
1881-02-12,1881,02,12,OCR_COMPLETE,1,1,0,,85,0
1881-02-19,1881,02,19,OCR_COMPLETE,1,1,0,,68,0
1881-02-26,1881,02,26,OCR_COMPLETE,1,1,0,,0,0
1881-03-05,1881,03,05,OCR_COMPLETE,1,1,0,,91,0
1881-03-12,1881,03,12,OCR_COMPLETE,1,1,0,,0,0
1881-03-19,1881,03,19,OCR_COMPLETE,1,1,0,,0,0
1881-03-26,1881,03,26,OCR_COMPLETE,1,1,0,,68,0
1881-04-02,1881,04,02,OCR_COMPLETE,1,1,0,,0,0
1881-04-09,1881,04,09,OCR_COMPLETE,1,1,0,,0,0
1881-04-16,1881,04,16,OCR_COMPLETE,2,2,0,,113,0
1881-04-23,1881,04,23,OCR_COMPLETE,2,2,0,,51,0
1881-04-30,1881,04,30,OCR_COMPLETE,2,2,0,,177,0
1881-05-07,1881,05,07,OCR_COMPLETE,2,2,0,,84,0
1881-05-14,1881,05,14,OCR_COMPLETE,3,3,0,,135,0
1881-05-21,1881,05,21,OCR_COMPLETE,3,3,0,,147,0
1881-05-28,1881,05,28,OCR_COMPLETE,2,2,0,,148,0
1881-06-04,1881,06,04,OCR_COMPLETE,3,3,0,,200,0
1881-06-11,1881,06,11,OCR_COMPLETE,3,3,0,,112,0
1881-06-18,1881,06,18,OCR_COMPLETE,3,3,0,,127,0
1881-06-25,1881,06,25,OCR_COMPLETE,2,2,0,,129,0
1881-07-02,1881,07,02,OCR_COMPLETE,3,3,0,,178,0
1881-07-09,1881,07,09,OCR_COMPLETE,3,3,0,,49,0
1881-07-16,1881,07,16,OCR_COMPLETE,3,3,0,,146,0
1881-07-23,1881,07,23,PARTIAL_FAIL,4,4,1,MAX_TOKENS,216,0
1881-07-30,1881,07,30,OCR_COMPLETE,3,3,0,,209,0
1881-08-06,1881,08,06,OCR_COMPLETE,3,3,0,,227,0
1881-08-13,1881,08,13,OCR_COMPLETE,3,3,0,,261,0
1881-08-20,1881,08,20,OCR_COMPLETE,3,3,0,,338,0
1881-08-27,1881,08,27,OCR_COMPLETE,4,4,0,,208,0
1881-09-03,1881,09,03,OCR_COMPLETE,4,4,0,,382,0
1881-09-10,1881,09,10,OCR_COMPLETE,4,4,0,,379,0
1881-09-17,1881,09,17,OCR_COMPLETE,4,4,0,,245,0
1881-09-24,1881,09,24,OCR_COMPLETE,3,3,0,,254,0
1881-10-01,1881,10,01,OCR_COMPLETE,3,3,0,,159,0
1881-10-08,1881,10,08,OCR_COMPLETE,3,3,0,,173,0
1881-10-15,1881,10,15,PARTIAL_FAIL,3,3,1,MAX_TOKENS,110,0
1881-10-22,1881,10,22,OCR_COMPLETE,2,2,0,,169,0
1881-10-29,1881,10,29,PARTIAL_FAIL,3,3,1,MAX_TOKENS,188,0
